id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
62,short,2025-03-13T23:30:00+00:00,2025-03-14T14:30:00+00:00,1863.88,1914.6742105895596,3.0896,4.6697,-161.6035,SL,1.1797,1.2396
63,long,2025-03-14T13:30:00+00:00,2025-03-15T14:00:00+00:00,1903.71,1924.3455589828548,3.1508,4.8246,60.1939,SL,1.6727,1.528
64,long,2025-03-15T15:00:00+00:00,2025-03-16T03:00:00+00:00,1933.94,1927.01,2.9442,4.547,-24.9503,Replace,1.1877,1.0708
65,long,2025-03-16T03:00:00+00:00,2025-03-16T11:00:00+00:00,1927.01,1902.3367615002649,2.916,4.4666,-76.4137,SL,-1.9029,-1.9387
66,long,2025-03-17T07:30:00+00:00,2025-03-17T23:00:00+00:00,1900.13,1930.2508439590424,2.8366,4.3461,81.0947,SL,-0.827,-0.9759
67,long,2025-03-18T14:30:00+00:00,2025-03-19T02:00:00+00:00,1894.01,1928.2416708891956,2.9742,4.5473,97.2646,SL,-1.4519,-1.8967
68,long,2025-03-19T08:30:00+00:00,2025-03-19T12:30:00+00:00,1939.74,2006.0035571862745,3.0545,4.8209,197.5811,SL,0.565,0.3205
69,long,2025-03-22T00:30:00+00:00,2025-03-23T05:00:00+00:00,1979.8,1996.929405168222,3.2921,5.2367,51.155,SL,-0.0037,-0.3301
70,long,2025-03-23T13:30:00+00:00,2025-03-23T17:30:00+00:00,2017.55,1994.4051894648276,3.3066,5.3064,-81.837,SL,-0.0299,-0.1968
71,long,2025-03-24T03:00:00+00:00,2025-03-24T13:00:00+00:00,2011.48,2075.267563878412,3.1945,5.222,198.5473,SL,-0.5214,-0.7675
72,long,2025-03-25T00:00:00+00:00,2025-03-25T03:00:00+00:00,2086.22,2049.460107481854,3.3656,5.5676,-129.2867,SL,-0.9085,-1.3139
73,long,2025-03-25T14:30:00+00:00,2025-03-26T05:30:00+00:00,2075.39,2058.09,3.1962,5.2846,-60.5788,Replace,0.0667,-0.1287
74,long,2025-03-26T05:30:00+00:00,2025-03-26T13:30:00+00:00,2058.09,2026.2249240601898,3.1348,5.1214,-105.012,SL,-1.4451,-1.7346
75,long,2025-03-30T08:30:00+00:00,2025-03-30T13:30:00+00:00,1845.99,1818.5245510796651,3.3243,4.8728,-96.1762,SL,0.6911,0.4199
76,long,2025-03-30T15:00:00+00:00,2025-03-30T22:00:00+00:00,1816.91,1782.406738593842,3.2187,4.634,-115.6897,SL,-1.4517,-1.7122
77,long,2025-03-31T01:00:00+00:00,2025-04-01T11:00:00+00:00,1815.94,1867.514974012644,3.0293,4.4633,151.7728,SL,-0.44,-0.4467
78,long,2025-04-01T14:30:00+00:00,2025-04-02T22:00:00+00:00,1881.48,1838.3647683059799,3.1658,4.7105,-141.2047,SL,-0.6335,-0.7034
79,long,2025-04-04T13:00:00+00:00,2025-04-05T04:30:00+00:00,1779.03,1808.7036881634983,3.11,4.4631,87.822,SL,-1.1334,-1.1486
80,long,2025-04-05T21:30:00+00:00,2025-04-06T13:30:00+00:00,1789.61,1760.3987677581163,3.2388,4.5991,-99.2084,SL,0.1519,-0.069
81,short,2025-04-07T23:30:00+00:00,2025-04-08T18:30:00+00:00,1552.44,1490.0552483125641,3.5419,4.3105,216.6501,SL,1.1045,1.5763
82,long,2025-04-09T13:30:00+00:00,2025-04-10T00:30:00+00:00,1486.8,1643.1573360454697,4.1354,5.1775,641.4227,SL,-0.6471,-0.9848
83,long,2025-04-10T12:00:00+00:00,2025-04-10T13:30:00+00:00,1612.72,1561.5912469222003,5.0057,6.3559,-262.2911,SL,-1.1153,-1.8557
84,long,2025-04-11T01:30:00+00:00,2025-04-12T16:30:00+00:00,1541.98,1637.7659383962855,4.7251,6.0098,446.5883,SL,-0.005,-0.2644
85,long,2025-04-13T03:00:00+00:00,2025-04-13T13:30:00+00:00,1622.13,1581.3809075009697,5.3175,6.8139,-223.4972,SL,-1.556,-1.6495
86,long,2025-04-15T09:00:00+00:00,2025-04-15T14:00:00+00:00,1643.3,1612.6822816872566,4.841,6.3049,-154.5253,SL,1.7431,1.6915
87,long,2025-04-16T06:30:00+00:00,2025-04-18T19:30:00+00:00,1575.77,1600.8320078081742,4.7543,6.041,113.1113,SL,-1.6297,-1.7061
88,short,2025-04-17T03:30:00+00:00,2025-04-19T09:30:00+00:00,1584.04,1597.68,4.7295,6.0192,-70.5296,Replace,0.7876,0.98
89,short,2025-04-19T09:30:00+00:00,2025-04-19T17:30:00+00:00,1597.68,1614.30151284033,4.769,6.1272,-85.3952,SL,0.0266,0.0424
90,long,2025-04-20T01:30:00+00:00,2025-04-20T07:00:00+00:00,1617.09,1598.6809730648704,4.5534,5.8571,-89.6807,SL,-0.0579,-0.204
91,long,2025-04-21T00:00:00+00:00,2025-04-21T10:00:00+00:00,1608.82,1636.26197746387,4.4095,5.7237,115.2817,SL,0.1541,-0.1552
92,long,2025-04-22T01:00:00+00:00,2025-04-22T17:00:00+00:00,1577.16,1683.1130893531797,4.7173,6.1519,493.6606,SL,0.6157,0.4839
93,long,2025-04-23T10:30:00+00:00,2025-04-24T08:00:00+00:00,1802.97,1750.8876514835026,4.9479,7.0337,-264.7319,SL,0.0134,-0.3359
94,short,2025-04-23T19:30:00+00:00,2025-04-24T11:30:00+00:00,1785.52,1752.8570045235333,4.9963,7.0715,156.1226,SL,-0.0149,0.2048
96,short,2025-04-25T17:30:00+00:00,2025-04-25T21:30:00+00:00,1784.79,1789.11,4.8158,6.8845,-27.6887,Replace,0.9929,1.1244
97,short,2025-04-25T21:30:00+00:00,2025-04-26T08:00:00+00:00,1789.11,1831.9944986961848,4.7577,6.8913,-210.9228,SL,-0.2264,-0.0501
95,long,2025-04-25T10:00:00+00:00,2025-04-26T08:30:00+00:00,1780.34,1809.0306956641195,4.8278,6.9315,131.5814,SL,1.752,1.5263
98,long,2025-04-27T14:00:00+00:00,2025-04-28T00:00:00+00:00,1798.26,1768.5570972790163,4.6012,6.5647,-143.2337,SL,-0.7657,-0.8638
